algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
bc,deterministic,bottom_right,0,1,BC2c_ch16,cam1,0.6994,0.2082,3,
bc,deterministic,bottom_right,0,2,BC2c_ch16,cam1,0.5812,0.3072,2,
bc,deterministic,bottom_right,0,4,BC2c_ch16,cam1,0.366,0.0037,2,
bc,deterministic,bottom_right,0,8,BC2c_ch16,cam1,0.7512,0.3353,3,yes
bc,deterministic,turned_left,0,1,BC2c_ch16,cam1,0.7273,0.0059,2,yes
bc,deterministic,turned_left,0,2,BC2c_ch16,cam1,0.6979,0.0007,2,
bc,deterministic,turned_left,0,4,BC2c_ch16,cam1,0.6974,0.0,2,
bc,deterministic,turned_left,0,8,BC2c_ch16,cam1,0.6856,0.0047,2,
bc,deterministic,turned_right,0,1,BC2c_ch16,cam1,0.7266,0.0403,2,
bc,deterministic,turned_right,0,2,BC2c_ch16,cam1,0.7379,0.0033,2,
bc,deterministic,turned_right,0,4,BC2c_ch16,cam1,0.7578,0.0435,2,yes
bc,deterministic,turned_right,0,8,BC2c_ch16,cam1,0.7518,0.094,2,
bc,deterministic,upside_down,0,1,BC2c_ch16,cam1,0.4336,0.0124,2,
bc,deterministic,upside_down,0,2,BC2c_ch16,cam1,0.5119,0.0878,3,
bc,deterministic,upside_down,0,4,BC2c_ch16,cam1,0.5487,0.0098,2,yes
bc,deterministic,upside_down,0,8,BC2c_ch16,cam1,0.4779,0.0123,2,
