==========================================
Batch:   pushtWidowXdpCam1_resnet350k
Tag:     002
Node:    b05-10
JobId:   10590753
Start:   Sat Jul 25 23:39:32 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       29   tag=e02_resnet18_s29_350k
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (resnet18-imagenet x1cam + DenseResnet 1024x1, v-pred): 13,248,642 params
Training 350000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 69000/350000 | Loss: 0.049613 | LR: 2.72e-04 | 26691.8s
  Step 69500/350000 | Loss: 0.049234 | LR: 2.72e-04 | 26886.5s
  Step 70000/350000 | Loss: 0.048722 | LR: 2.71e-04 | 27078.8s
  Step 70500/350000 | Loss: 0.047221 | LR: 2.71e-04 | 27268.9s
  Step 71000/350000 | Loss: 0.048369 | LR: 2.71e-04 | 27456.9s
  Step 71500/350000 | Loss: 0.047834 | LR: 2.70e-04 | 27652.0s
  Step 72000/350000 | Loss: 0.046489 | LR: 2.70e-04 | 27845.2s
  Step 72500/350000 | Loss: 0.046219 | LR: 2.69e-04 | 28039.4s
  Step 73000/350000 | Loss: 0.046969 | LR: 2.69e-04 | 28229.4s
  Step 73500/350000 | Loss: 0.048479 | LR: 2.69e-04 | 28417.4s
  Step 74000/350000 | Loss: 0.046458 | LR: 2.68e-04 | 28609.0s
  Step 74500/350000 | Loss: 0.048086 | LR: 2.68e-04 | 28802.4s
  Step 75000/350000 | Loss: 0.045787 | LR: 2.67e-04 | 28997.2s
  [val] step 75000/350000 | held-out sampled-action MAE (ddim5): 0.48017
  Step 75500/350000 | Loss: 0.046191 | LR: 2.67e-04 | 29213.0s
  Step 76000/350000 | Loss: 0.048022 | LR: 2.67e-04 | 29405.7s
  Step 76500/350000 | Loss: 0.045147 | LR: 2.66e-04 | 29595.3s
  Step 77000/350000 | Loss: 0.045042 | LR: 2.66e-04 | 29786.8s
  Step 77500/350000 | Loss: 0.045249 | LR: 2.65e-04 | 29982.6s
  Step 78000/350000 | Loss: 0.043830 | LR: 2.65e-04 | 30175.4s
  Step 78500/350000 | Loss: 0.046955 | LR: 2.64e-04 | 30368.6s
  Step 79000/350000 | Loss: 0.046058 | LR: 2.64e-04 | 30562.7s
  Step 79500/350000 | Loss: 0.044431 | LR: 2.64e-04 | 30757.9s
  Step 80000/350000 | Loss: 0.044061 | LR: 2.63e-04 | 30952.5s
  Step 80500/350000 | Loss: 0.045166 | LR: 2.63e-04 | 31144.2s
  Step 81000/350000 | Loss: 0.044499 | LR: 2.62e-04 | 31337.7s
  Step 81500/350000 | Loss: 0.045306 | LR: 2.62e-04 | 31535.6s
  Step 82000/350000 | Loss: 0.044425 | LR: 2.61e-04 | 31733.3s
  Step 82500/350000 | Loss: 0.043507 | LR: 2.61e-04 | 31929.5s
  Step 83000/350000 | Loss: 0.044076 | LR: 2.60e-04 | 32123.9s
  Step 83500/350000 | Loss: 0.043062 | LR: 2.60e-04 | 32317.8s
  Step 84000/350000 | Loss: 0.043986 | LR: 2.59e-04 | 32511.3s
  Step 84500/350000 | Loss: 0.042425 | LR: 2.59e-04 | 32707.8s
  Step 85000/350000 | Loss: 0.042296 | LR: 2.59e-04 | 32903.6s
  Step 85500/350000 | Loss: 0.043167 | LR: 2.58e-04 | 33099.7s
  Step 86000/350000 | Loss: 0.042729 | LR: 2.58e-04 | 33297.1s
  Step 86500/350000 | Loss: 0.042201 | LR: 2.57e-04 | 33494.8s
  Step 87000/350000 | Loss: 0.042394 | LR: 2.57e-04 | 33684.7s
  Step 87500/350000 | Loss: 0.041849 | LR: 2.56e-04 | 33875.4s
  Step 88000/350000 | Loss: 0.043286 | LR: 2.56e-04 | 34067.7s
  Step 88500/350000 | Loss: 0.041241 | LR: 2.55e-04 | 34257.9s
  Step 89000/350000 | Loss: 0.041898 | LR: 2.55e-04 | 34450.0s
  Step 89500/350000 | Loss: 0.040940 | LR: 2.54e-04 | 34642.5s
  Step 90000/350000 | Loss: 0.042610 | LR: 2.54e-04 | 34835.5s
  Step 90500/350000 | Loss: 0.041455 | LR: 2.53e-04 | 35030.3s
  Step 91000/350000 | Loss: 0.038355 | LR: 2.53e-04 | 35223.2s
  Step 91500/350000 | Loss: 0.039368 | LR: 2.52e-04 | 35418.7s
  Step 92000/350000 | Loss: 0.040056 | LR: 2.52e-04 | 35614.9s
  Step 92500/350000 | Loss: 0.042054 | LR: 2.51e-04 | 35810.7s
  Step 93000/350000 | Loss: 0.040924 | LR: 2.51e-04 | 36003.4s
  Step 93500/350000 | Loss: 0.041259 | LR: 2.50e-04 | 36195.5s
  Step 94000/350000 | Loss: 0.041623 | LR: 2.50e-04 | 36383.4s
  Step 94500/350000 | Loss: 0.040033 | LR: 2.49e-04 | 36576.9s
  Step 95000/350000 | Loss: 0.039861 | LR: 2.49e-04 | 36770.2s
  Step 95500/350000 | Loss: 0.040800 | LR: 2.48e-04 | 36963.2s
  Step 96000/350000 | Loss: 0.039677 | LR: 2.48e-04 | 37152.9s
  Step 96500/350000 | Loss: 0.039097 | LR: 2.47e-04 | 37347.4s
